review,label
I used this app for a week and it completely changed my workflow.,real
"Absolutely loved this movie, it was emotional and powerful.",real
AI systems can write realistic comments easily.,fake
AI systems can write realistic comments easily.,fake
AI systems can write realistic comments easily.,fake
The review was synthetically created by an AI engine.,fake
The hotel was clean and the staff were friendly.,real
The quality is excellent and worth the money.,real
Customer service was quick and responsive.,real
This content was written by a machine learning algorithm.,fake
This paragraph was produced using OpenAI models.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
AI generated sentences that sound human-like.,fake
The chatbot wrote this text using natural language generation.,fake
The essay was composed by an artificial intelligence tool.,fake
"This product exceeded my expectations, highly recommended!",real
AI systems can write realistic comments easily.,fake
The phone battery lasts all day with heavy usage.,real
This content was written by a machine learning algorithm.,fake
AI generated sentences that sound human-like.,fake
This paragraph was produced using OpenAI models.,fake
This review is created by an AI model to simulate feedback.,fake
The software UI is user-friendly and modern.,real
The software UI is user-friendly and modern.,real
This paragraph was produced using OpenAI models.,fake
This laptop runs smoothly and boots up fast.,real
The review was synthetically created by an AI engine.,fake
The generated text from AI appears coherent and fluent.,fake
The hotel was clean and the staff were friendly.,real
AI systems can write realistic comments easily.,fake
This article was automatically generated using GPT.,fake
This laptop runs smoothly and boots up fast.,real
The hotel was clean and the staff were friendly.,real
This article was automatically generated using GPT.,fake
Customer service was quick and responsive.,real
The essay was composed by an artificial intelligence tool.,fake
This laptop runs smoothly and boots up fast.,real
AI systems can write realistic comments easily.,fake
This laptop runs smoothly and boots up fast.,real
The hotel was clean and the staff were friendly.,real
This article was automatically generated using GPT.,fake
I used this app for a week and it completely changed my workflow.,real
The phone battery lasts all day with heavy usage.,real
Customer service was quick and responsive.,real
The quality is excellent and worth the money.,real
The review was synthetically created by an AI engine.,fake
This laptop runs smoothly and boots up fast.,real
I used this app for a week and it completely changed my workflow.,real
AI generated sentences that sound human-like.,fake
This paragraph was produced using OpenAI models.,fake
The quality is excellent and worth the money.,real
AI generated sentences that sound human-like.,fake
AI systems can write realistic comments easily.,fake
I used this app for a week and it completely changed my workflow.,real
I used this app for a week and it completely changed my workflow.,real
This paragraph was produced using OpenAI models.,fake
This paragraph was produced using OpenAI models.,fake
The review was synthetically created by an AI engine.,fake
The quality is excellent and worth the money.,real
This paragraph was produced using OpenAI models.,fake
This review is created by an AI model to simulate feedback.,fake
AI generated sentences that sound human-like.,fake
The hotel was clean and the staff were friendly.,real
This paragraph was produced using OpenAI models.,fake
This content was written by a machine learning algorithm.,fake
This laptop runs smoothly and boots up fast.,real
"Absolutely loved this movie, it was emotional and powerful.",real
This article was automatically generated using GPT.,fake
This content was written by a machine learning algorithm.,fake
This review is created by an AI model to simulate feedback.,fake
Delivery was on time and packaging was good.,real
Delivery was on time and packaging was good.,real
This content was written by a machine learning algorithm.,fake
The quality is excellent and worth the money.,real
"Absolutely loved this movie, it was emotional and powerful.",real
This review is created by an AI model to simulate feedback.,fake
I used this app for a week and it completely changed my workflow.,real
This paragraph was produced using OpenAI models.,fake
The generated text from AI appears coherent and fluent.,fake
The essay was composed by an artificial intelligence tool.,fake
The generated text from AI appears coherent and fluent.,fake
This review is created by an AI model to simulate feedback.,fake
This article was automatically generated using GPT.,fake
AI generated sentences that sound human-like.,fake
The generated text from AI appears coherent and fluent.,fake
The generated text from AI appears coherent and fluent.,fake
The review was synthetically created by an AI engine.,fake
The phone battery lasts all day with heavy usage.,real
"This product exceeded my expectations, highly recommended!",real
The chatbot wrote this text using natural language generation.,fake
I used this app for a week and it completely changed my workflow.,real
The software UI is user-friendly and modern.,real
The chatbot wrote this text using natural language generation.,fake
The essay was composed by an artificial intelligence tool.,fake
AI generated sentences that sound human-like.,fake
The review was synthetically created by an AI engine.,fake
"This product exceeded my expectations, highly recommended!",real
The chatbot wrote this text using natural language generation.,fake
This content was written by a machine learning algorithm.,fake
AI systems can write realistic comments easily.,fake
This laptop runs smoothly and boots up fast.,real
This review is created by an AI model to simulate feedback.,fake
The quality is excellent and worth the money.,real
Customer service was quick and responsive.,real
The phone battery lasts all day with heavy usage.,real
"This product exceeded my expectations, highly recommended!",real
The quality is excellent and worth the money.,real
AI systems can write realistic comments easily.,fake
The phone battery lasts all day with heavy usage.,real
I used this app for a week and it completely changed my workflow.,real
This review is created by an AI model to simulate feedback.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
The review was synthetically created by an AI engine.,fake
I used this app for a week and it completely changed my workflow.,real
AI systems can write realistic comments easily.,fake
The essay was composed by an artificial intelligence tool.,fake
The review was synthetically created by an AI engine.,fake
The software UI is user-friendly and modern.,real
The hotel was clean and the staff were friendly.,real
This paragraph was produced using OpenAI models.,fake
AI systems can write realistic comments easily.,fake
This content was written by a machine learning algorithm.,fake
The generated text from AI appears coherent and fluent.,fake
This paragraph was produced using OpenAI models.,fake
AI systems can write realistic comments easily.,fake
The software UI is user-friendly and modern.,real
The quality is excellent and worth the money.,real
I used this app for a week and it completely changed my workflow.,real
AI generated sentences that sound human-like.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
AI generated sentences that sound human-like.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
The hotel was clean and the staff were friendly.,real
This paragraph was produced using OpenAI models.,fake
AI systems can write realistic comments easily.,fake
Customer service was quick and responsive.,real
This article was automatically generated using GPT.,fake
The chatbot wrote this text using natural language generation.,fake
The software UI is user-friendly and modern.,real
The phone battery lasts all day with heavy usage.,real
The software UI is user-friendly and modern.,real
This laptop runs smoothly and boots up fast.,real
This paragraph was produced using OpenAI models.,fake
The software UI is user-friendly and modern.,real
Customer service was quick and responsive.,real
"This product exceeded my expectations, highly recommended!",real
This review is created by an AI model to simulate feedback.,fake
This review is created by an AI model to simulate feedback.,fake
This review is created by an AI model to simulate feedback.,fake
The essay was composed by an artificial intelligence tool.,fake
The generated text from AI appears coherent and fluent.,fake
Delivery was on time and packaging was good.,real
The essay was composed by an artificial intelligence tool.,fake
The review was synthetically created by an AI engine.,fake
AI generated sentences that sound human-like.,fake
The review was synthetically created by an AI engine.,fake
This laptop runs smoothly and boots up fast.,real
The chatbot wrote this text using natural language generation.,fake
AI generated sentences that sound human-like.,fake
The quality is excellent and worth the money.,real
This review is created by an AI model to simulate feedback.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
This article was automatically generated using GPT.,fake
The phone battery lasts all day with heavy usage.,real
"This product exceeded my expectations, highly recommended!",real
AI systems can write realistic comments easily.,fake
This content was written by a machine learning algorithm.,fake
"This product exceeded my expectations, highly recommended!",real
Customer service was quick and responsive.,real
The essay was composed by an artificial intelligence tool.,fake
"This product exceeded my expectations, highly recommended!",real
The generated text from AI appears coherent and fluent.,fake
AI systems can write realistic comments easily.,fake
The software UI is user-friendly and modern.,real
The hotel was clean and the staff were friendly.,real
"This product exceeded my expectations, highly recommended!",real
The essay was composed by an artificial intelligence tool.,fake
The quality is excellent and worth the money.,real
AI generated sentences that sound human-like.,fake
The software UI is user-friendly and modern.,real
This review is created by an AI model to simulate feedback.,fake
I used this app for a week and it completely changed my workflow.,real
"Absolutely loved this movie, it was emotional and powerful.",real
AI generated sentences that sound human-like.,fake
The review was synthetically created by an AI engine.,fake
The review was synthetically created by an AI engine.,fake
This laptop runs smoothly and boots up fast.,real
The chatbot wrote this text using natural language generation.,fake
This review is created by an AI model to simulate feedback.,fake
"This product exceeded my expectations, highly recommended!",real
The phone battery lasts all day with heavy usage.,real
"Absolutely loved this movie, it was emotional and powerful.",real
This paragraph was produced using OpenAI models.,fake
The hotel was clean and the staff were friendly.,real
The software UI is user-friendly and modern.,real
The review was synthetically created by an AI engine.,fake
"This product exceeded my expectations, highly recommended!",real
The quality is excellent and worth the money.,real
Delivery was on time and packaging was good.,real
The software UI is user-friendly and modern.,real
AI systems can write realistic comments easily.,fake
The essay was composed by an artificial intelligence tool.,fake
This paragraph was produced using OpenAI models.,fake
This paragraph was produced using OpenAI models.,fake
The essay was composed by an artificial intelligence tool.,fake
This content was written by a machine learning algorithm.,fake
This content was written by a machine learning algorithm.,fake
The review was synthetically created by an AI engine.,fake
The quality is excellent and worth the money.,real
Delivery was on time and packaging was good.,real
The software UI is user-friendly and modern.,real
I used this app for a week and it completely changed my workflow.,real
This review is created by an AI model to simulate feedback.,fake
The phone battery lasts all day with heavy usage.,real
This paragraph was produced using OpenAI models.,fake
The essay was composed by an artificial intelligence tool.,fake
The software UI is user-friendly and modern.,real
This paragraph was produced using OpenAI models.,fake
Delivery was on time and packaging was good.,real
The chatbot wrote this text using natural language generation.,fake
AI systems can write realistic comments easily.,fake
Delivery was on time and packaging was good.,real
I used this app for a week and it completely changed my workflow.,real
AI generated sentences that sound human-like.,fake
The chatbot wrote this text using natural language generation.,fake
Delivery was on time and packaging was good.,real
The review was synthetically created by an AI engine.,fake
The software UI is user-friendly and modern.,real
This laptop runs smoothly and boots up fast.,real
The quality is excellent and worth the money.,real
The software UI is user-friendly and modern.,real
This review is created by an AI model to simulate feedback.,fake
Customer service was quick and responsive.,real
"Absolutely loved this movie, it was emotional and powerful.",real
This article was automatically generated using GPT.,fake
Delivery was on time and packaging was good.,real
I used this app for a week and it completely changed my workflow.,real
The review was synthetically created by an AI engine.,fake
AI generated sentences that sound human-like.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
I used this app for a week and it completely changed my workflow.,real
AI systems can write realistic comments easily.,fake
This review is created by an AI model to simulate feedback.,fake
The review was synthetically created by an AI engine.,fake
I used this app for a week and it completely changed my workflow.,real
AI generated sentences that sound human-like.,fake
The hotel was clean and the staff were friendly.,real
The phone battery lasts all day with heavy usage.,real
The quality is excellent and worth the money.,real
This article was automatically generated using GPT.,fake
The software UI is user-friendly and modern.,real
Customer service was quick and responsive.,real
This content was written by a machine learning algorithm.,fake
The software UI is user-friendly and modern.,real
This content was written by a machine learning algorithm.,fake
The quality is excellent and worth the money.,real
The software UI is user-friendly and modern.,real
This paragraph was produced using OpenAI models.,fake
The review was synthetically created by an AI engine.,fake
"This product exceeded my expectations, highly recommended!",real
The generated text from AI appears coherent and fluent.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
"This product exceeded my expectations, highly recommended!",real
The quality is excellent and worth the money.,real
The chatbot wrote this text using natural language generation.,fake
The hotel was clean and the staff were friendly.,real
I used this app for a week and it completely changed my workflow.,real
The essay was composed by an artificial intelligence tool.,fake
The generated text from AI appears coherent and fluent.,fake
This article was automatically generated using GPT.,fake
This content was written by a machine learning algorithm.,fake
AI generated sentences that sound human-like.,fake
Customer service was quick and responsive.,real
The phone battery lasts all day with heavy usage.,real
Customer service was quick and responsive.,real
AI generated sentences that sound human-like.,fake
This article was automatically generated using GPT.,fake
I used this app for a week and it completely changed my workflow.,real
Delivery was on time and packaging was good.,real
This article was automatically generated using GPT.,fake
This content was written by a machine learning algorithm.,fake
The review was synthetically created by an AI engine.,fake
I used this app for a week and it completely changed my workflow.,real
Delivery was on time and packaging was good.,real
The generated text from AI appears coherent and fluent.,fake
This paragraph was produced using OpenAI models.,fake
This content was written by a machine learning algorithm.,fake
This review is created by an AI model to simulate feedback.,fake
The software UI is user-friendly and modern.,real
The generated text from AI appears coherent and fluent.,fake
Delivery was on time and packaging was good.,real
This laptop runs smoothly and boots up fast.,real
The software UI is user-friendly and modern.,real
The generated text from AI appears coherent and fluent.,fake
This content was written by a machine learning algorithm.,fake
This article was automatically generated using GPT.,fake
This paragraph was produced using OpenAI models.,fake
"This product exceeded my expectations, highly recommended!",real
The generated text from AI appears coherent and fluent.,fake
I used this app for a week and it completely changed my workflow.,real
The chatbot wrote this text using natural language generation.,fake
The chatbot wrote this text using natural language generation.,fake
The quality is excellent and worth the money.,real
I used this app for a week and it completely changed my workflow.,real
The phone battery lasts all day with heavy usage.,real
The phone battery lasts all day with heavy usage.,real
This content was written by a machine learning algorithm.,fake
The quality is excellent and worth the money.,real
The review was synthetically created by an AI engine.,fake
"This product exceeded my expectations, highly recommended!",real
The quality is excellent and worth the money.,real
The phone battery lasts all day with heavy usage.,real
I used this app for a week and it completely changed my workflow.,real
Customer service was quick and responsive.,real
The hotel was clean and the staff were friendly.,real
The hotel was clean and the staff were friendly.,real
This review is created by an AI model to simulate feedback.,fake
This review is created by an AI model to simulate feedback.,fake
I used this app for a week and it completely changed my workflow.,real
This content was written by a machine learning algorithm.,fake
"This product exceeded my expectations, highly recommended!",real
The review was synthetically created by an AI engine.,fake
The software UI is user-friendly and modern.,real
"Absolutely loved this movie, it was emotional and powerful.",real
This review is created by an AI model to simulate feedback.,fake
The quality is excellent and worth the money.,real
Customer service was quick and responsive.,real
I used this app for a week and it completely changed my workflow.,real
This review is created by an AI model to simulate feedback.,fake
I used this app for a week and it completely changed my workflow.,real
This content was written by a machine learning algorithm.,fake
I used this app for a week and it completely changed my workflow.,real
The review was synthetically created by an AI engine.,fake
The chatbot wrote this text using natural language generation.,fake
Customer service was quick and responsive.,real
The quality is excellent and worth the money.,real
This content was written by a machine learning algorithm.,fake
This content was written by a machine learning algorithm.,fake
The chatbot wrote this text using natural language generation.,fake
I used this app for a week and it completely changed my workflow.,real
"Absolutely loved this movie, it was emotional and powerful.",real
The chatbot wrote this text using natural language generation.,fake
This laptop runs smoothly and boots up fast.,real
The hotel was clean and the staff were friendly.,real
The quality is excellent and worth the money.,real
This laptop runs smoothly and boots up fast.,real
This review is created by an AI model to simulate feedback.,fake
The quality is excellent and worth the money.,real
This content was written by a machine learning algorithm.,fake
The software UI is user-friendly and modern.,real
This article was automatically generated using GPT.,fake
The phone battery lasts all day with heavy usage.,real
The review was synthetically created by an AI engine.,fake
AI generated sentences that sound human-like.,fake
This content was written by a machine learning algorithm.,fake
The review was synthetically created by an AI engine.,fake
The quality is excellent and worth the money.,real
I used this app for a week and it completely changed my workflow.,real
The phone battery lasts all day with heavy usage.,real
The generated text from AI appears coherent and fluent.,fake
This laptop runs smoothly and boots up fast.,real
This article was automatically generated using GPT.,fake
The generated text from AI appears coherent and fluent.,fake
I used this app for a week and it completely changed my workflow.,real
I used this app for a week and it completely changed my workflow.,real
This article was automatically generated using GPT.,fake
The review was synthetically created by an AI engine.,fake
The review was synthetically created by an AI engine.,fake
This paragraph was produced using OpenAI models.,fake
Delivery was on time and packaging was good.,real
AI systems can write realistic comments easily.,fake
AI generated sentences that sound human-like.,fake
Customer service was quick and responsive.,real
The quality is excellent and worth the money.,real
"This product exceeded my expectations, highly recommended!",real
The review was synthetically created by an AI engine.,fake
This content was written by a machine learning algorithm.,fake
